# timestamp tx ty tz qx qy qz qw
1.546321755432955027e+09 -5.767841987782015289e-01 1.734111515839017736e-01 1.367197487477461060e+00 7.061288703938873867e-01 4.552765393031068530e-01 -5.411286300646853675e-01 -3.584824794541619647e-02
1.546321755832643986e+09 -5.387269457053935895e-01 1.321297409661521816e-01 1.387004158973740964e+00 7.698041735316897283e-01 3.905097374460381743e-01 -5.048701107176771785e-01 -3.138578808744116322e-03
1.546321756232662916e+09 -4.956462746685778575e-01 9.926416000427558395e-02 1.372423725318656196e+00 8.228280020216522939e-01 3.178758834932898236e-01 -4.708820821441862536e-01 -1.338157307539729335e-02
1.546321756633503914e+09 -3.354897858563737345e-01 6.302031522018296250e-02 1.312192976092011243e+00 8.764059802517285558e-01 2.922390689749783665e-01 -3.827148781684714396e-01 6.181130328405737458e-03
1.546321757032648087e+09 -1.955394829801083145e-01 2.656849094024565233e-02 1.269613110358751795e+00 9.197051099394635276e-01 2.369333392108032288e-01 -3.120280741787929135e-01 2.536896619753095314e-02
1.546321757333192110e+09 -1.343681420568884066e-01 1.603737464931206946e-02 1.234214142243345691e+00 9.452953978580730388e-01 1.874755549703424895e-01 -2.659794648920567606e-01 2.290090244171042247e-02
1.546321757732703924e+09 -8.873126150816063040e-02 7.652109271363890380e-03 1.180066598480223883e+00 9.711186214060090194e-01 1.139196845188501644e-01 -2.082026328792934977e-01 2.454775549308724214e-02
1.546321758033458948e+09 -5.481631071617170531e-02 5.450831925366325832e-03 1.134491690076675718e+00 9.855939512247924306e-01 6.327676271089488491e-02 -1.540255151844757697e-01 2.961005373327222148e-02
1.546321758432430029e+09 -8.274990189076614905e-03 1.547965673421524725e-02 1.077006232149785747e+00 9.973171930276572006e-01 3.724289090337019534e-03 -7.029373470722559414e-02 2.008325230425868010e-02
1.546321758732523918e+09 2.417679616247456545e-03 -4.909849796445429502e-05 1.055101486663989396e+00 9.981736665637543915e-01 -4.895116799660784862e-02 -2.033408607778398880e-02 2.897653315736322885e-02
1.546321759032763958e+09 1.140611704274618584e-03 -4.361864676716953326e-02 1.029986806794941145e+00 9.948547562945978529e-01 -8.512759531600883056e-02 3.646834700698465409e-02 4.107756151852647031e-02
1.546321759433089018e+09 -5.495571163177118829e-02 -1.044464981591457231e-01 9.842058726281703862e-01 9.867956501963107696e-01 -1.278772171329883300e-01 8.530883617708698297e-02 5.103101568726309267e-02
1.546321759832926989e+09 -1.781432282327329031e-01 -1.331941087652273314e-01 9.324350721573018141e-01 9.860725032395041278e-01 -1.409074531012846077e-01 7.793405274876717692e-02 4.162200665080730000e-02
1.546321760232882977e+09 -3.107223552308291947e-01 -1.493663808804066850e-01 8.928993559440066008e-01 9.850615391957358025e-01 -1.434145227938172784e-01 7.666808984941529681e-02 5.663958552100851335e-02
